iter	Passed	Remaining
0	1	173
1	3	155
2	4	146
3	5	134
4	6	132
5	8	131
6	10	140
7	12	142
8	13	138
9	15	135
10	16	132
11	17	130
12	19	127
13	20	125
14	21	122
15	22	120
16	24	118
17	25	116
18	26	114
19	28	113
20	29	111
21	30	109
22	32	108
23	33	107
24	35	105
25	36	103
26	37	101
27	39	100
28	40	99
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	90
35	50	89
36	51	87
37	53	86
38	54	85
39	55	83
40	56	81
41	57	79
42	58	77
43	60	76
44	61	75
45	62	73
46	64	72
47	65	70
48	66	69
49	68	68
50	69	66
51	70	65
52	72	63
53	73	62
54	74	60
55	75	59
56	76	57
57	78	56
58	79	55
59	81	54
60	82	52
61	83	51
62	85	50
63	86	48
64	87	47
65	89	45
66	90	44
67	92	43
68	93	41
69	94	40
70	96	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	113	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	122	12
91	123	10
92	125	9
93	126	8
94	127	6
95	129	5
96	130	4
97	131	2
98	132	1
99	134	0
