iter	Passed	Remaining
0	155	154845
1	156	77964
2	157	52269
3	157	39341
4	158	31593
5	159	26417
6	160	22725
7	162	20114
8	164	18099
9	165	16372
10	166	14965
11	167	13775
12	168	12764
13	169	11948
14	170	11212
15	171	10562
16	172	9977
17	173	9462
18	175	9050
19	179	8796
20	180	8426
21	182	8124
22	183	7805
23	184	7516
24	185	7245
25	186	7001
26	188	6809
27	190	6611
28	191	6422
29	192	6232
30	193	6052
31	194	5882
32	195	5722
33	196	5572
34	196	5430
35	197	5296
36	198	5173
37	199	5055
38	200	4941
39	201	4846
40	203	4767
41	206	4702
42	207	4609
43	208	4519
44	208	4433
45	209	4351
46	210	4269
47	211	4192
48	212	4117
49	213	4051
50	214	3998
51	216	3943
52	217	3884
53	218	3827
54	219	3770
55	220	3716
56	221	3662
57	222	3610
58	223	3560
59	224	3509
60	225	3465
61	226	3419
62	226	3375
63	228	3340
64	229	3302
65	230	3266
66	232	3234
67	233	3201
68	234	3163
69	235	3125
70	236	3089
71	236	3053
72	238	3022
73	238	2989
74	239	2956
75	240	2923
76	241	2892
77	242	2868
78	244	2847
79	245	2819
80	246	2793
81	247	2765
82	247	2735
83	248	2708
84	249	2682
85	250	2657
86	250	2632
87	251	2610
88	252	2586
89	253	2563
90	254	2541
91	255	2519
92	258	2520
93	259	2503
94	262	2498
95	263	2477
96	263	2456
97	264	2436
98	265	2416
99	266	2397
100	267	2377
101	267	2358
102	268	2339
103	269	2320
104	270	2302
105	271	2292
106	273	2282
107	274	2268
108	275	2253
109	276	2239
110	277	2224
111	278	2208
112	279	2192
113	280	2176
114	280	2161
115	281	2145
116	282	2129
117	282	2114
118	283	2100
119	284	2087
120	286	2083
121	288	2074
122	289	2061
123	289	2048
124	290	2035
125	291	2021
126	292	2008
127	293	1996
128	294	1985
129	294	1973
130	295	1961
131	296	1949
132	297	1937
133	297	1925
134	299	1916
135	300	1908
136	301	1900
137	302	1890
138	303	1880
139	304	1869
140	305	1859
141	305	1848
142	306	1839
143	307	1829
144	308	1819
145	309	1809
146	310	1799
147	310	1789
148	311	1779
149	312	1770
150	313	1764
151	315	1759
152	316	1754
153	318	1748
154	319	1742
155	320	1735
156	321	1726
157	322	1718
158	323	1709
159	323	1700
160	324	1691
161	325	1682
162	326	1674
163	326	1666
164	329	1664
165	330	1659
166	331	1652
167	333	1650
168	334	1645
169	335	1637
170	336	1629
171	336	1622
172	337	1614
173	338	1607
174	339	1599
175	340	1592
176	340	1585
177	342	1580
178	344	1577
179	346	1577
180	347	1571
181	348	1564
182	348	1557
183	349	1550
184	350	1544
185	351	1537
186	352	1531
187	353	1525
188	354	1519
189	354	1512
190	356	1508
191	358	1509
192	360	1506
193	361	1501
194	362	1495
195	363	1489
